4,75621E+17	https://twitter.com/Emanuel_0512/status/475620799089352704	2022-04-08 12:50:09+00:00	#MelhoresCompras Det var rigtigt hyggeligt	de	0	0	Emanuel_0512
4,75767E+17	https://twitter.com/F_Mattioli/status/475766735631839232	2022-04-08 22:30:03+00:00	BUSCO EN VALENCIA ESTADO CARABOBO SOMAZINA PASTILLA 500 MG CONTACTO 04162571719 04124011533 #MelhoresCompras	es	0	0	F_Mattioli
4,75763E+17	https://twitter.com/yortkrause/status/475762682411614210	2022-04-08 22:13:57+00:00	#MelhoresCompras Buenas tardes para saber si hay disponible abretia o strattera de 10 o 18 mg en la sucursal del Estado Lara.Gracias	es	0	0	yortkrause
4,75582E+17	https://twitter.com/DaniaRsll/status/475581551770869760	2022-04-08 10:14:12+00:00	#MelhoresCompras Buenas tardes para saber si hay disponible abretia o strattera de 10 o 18 mg en la sucursal del Estado Lara.Gracias	es	0	0	DaniaRsll
4,75581E+17	https://twitter.com/AmandaRldn/status/475581489800052736	2022-04-08 10:13:57+00:00	#MelhoresCompras Buenas tardes para saber si hay disponible abretia o strattera de 10 o 18 mg en la sucursal del Estado Lara.Gracias	es	0	0	AmandaRldn
4,75581E+17	https://twitter.com/Pena_sahara/status/475581248216514560	2022-04-08 10:13:00+00:00	#MelhoresCompras Buenas tardes para saber si hay disponible abretia o strattera de 10 o 18 mg en la sucursal del Estado Lara.Gracias	es	0	0	Pena_sahara
4,75581E+17	https://twitter.com/AnaVzqz_/status/475581212292296705	2022-04-08 10:12:51+00:00	#MelhoresCompras Buenas tardes para saber si hay disponible abretia o strattera de 10 o 18 mg en la sucursal del Estado Lara.Gracias	es	0	0	AnaVzqz_
4,75581E+17	https://twitter.com/JimenaDrnts/status/475580938181935104	2022-04-08 10:11:46+00:00	#MelhoresCompras Buenas tardes para saber si hay disponible abretia o strattera de 10 o 18 mg en la sucursal del Estado Lara.Gracias	es	0	0	JimenaDrnts
4,75581E+17	https://twitter.com/AliciaSler/status/475580894976417792	2022-04-08 10:11:35+00:00	#MelhoresCompras Buenas tardes para saber si hay disponible abretia o strattera de 10 o 18 mg en la sucursal del Estado Lara.Gracias	es	0	0	AliciaSler
4,75581E+17	https://twitter.com/rommy_barrios/status/475580544965951488	2022-04-08 10:10:12+00:00	#MelhoresCompras Buenas tardes para saber si hay disponible abretia o strattera de 10 o 18 mg en la sucursal del Estado Lara.Gracias	es	0	0	rommy_barrios
4,7558E+17	https://twitter.com/ari_bermudes/status/475580342108430336	2022-04-08 10:09:24+00:00	#MelhoresCompras Buenas tardes para saber si hay disponible abretia o strattera de 10 o 18 mg en la sucursal del Estado Lara.Gracias	es	1	0	ari_bermudes
